Stock;Index
BCFF11;IFIL IFIX
BRCR11;IFIL IFIX
BCIA11;IFIX
BCRI11;IFIL IFIX
BLMR11;IFIX
BLMG11;IFIX
BRCO11;IFIL IFIX
BTAL11;IFIX
BTCR11;IFIX
BTRA11;IFIX
BTLG11;IFIL IFIX
FCFL11;IFIX
CPFF11;IFIL IFIX
CPTS11;IFIL IFIX
HGCR11;IFIL IFIX
HGFF11;IFIX
HGLG11;IFIL IFIX
HGRU11;IFIL IFIX
CARE11;IFIX
DEVA11;IFIL IFIX
FEXC11;IFIX
VRTA11;IFIL IFIX
GTWR11;IFIL IFIX
GGRC11;IFIL IFIX
GALG11;IFIX
HABT11;IFIL IFIX
HCTR11;IFIL IFIX
HGBS11;IFIL IFIX
HGRE11;IFIL IFIX
HSAF11;IFIX
HSLG11;IFIX
HSML11;IFIL IFIX
HFOF11;IFIL IFIX
FIIB11;IFIX
IRDM11;IFIL IFIX
JSRE11;IFIL IFIX
KISU11;IFIL IFIX
KNRI11;IFIL IFIX
KNHY11;IFIL IFIX
KNIP11;IFIL IFIX
KNCR11;IFIL IFIX
KNSC11;IFIL IFIX
KFOF11;IFIX
MALL11;IFIL IFIX
MCCI11;IFIL IFIX
MCHF11;IFIX
MXRF11;IFIL IFIX
MFII11;IFIX
MGFF11;IFIL IFIX
MORE11;IFIX
NCHB11;IFIX
OUJP11;IFIX
PATL11;IFIL IFIX
PLCR11;IFIX
PORD11;IFIX
QAGR11;IFIX
RBRL11;IFIX
RBRY11;IFIX
RBRP11;IFIL IFIX
RBRF11;IFIL IFIX
RBRR11;IFIL IFIX
RECR11;IFIL IFIX
RECT11;IFIL IFIX
RBFF11;IFIX
RCRB11;IFIX
RBVA11;IFIL IFIX
RZAK11;IFIL IFIX
RZTR11;IFIL IFIX
SADI11;IFIX
SARE11;IFIL IFIX
SDIL11;IFIL IFIX
SPTW11;IFIX
SNCI11;IFIX
SNFF11;IFIL IFIX
TGAR11;IFIL IFIX
TORD11;IFIL IFIX
TRXF11;IFIL IFIX
URPR11;IFIL IFIX
VGHF11;IFIL IFIX
VGIP11;IFIL IFIX
VGIR11;IFIX
CVBI11;IFIL IFIX
LVBI11;IFIL IFIX
PVBI11;IFIL IFIX
RVBI11;IFIX
VCJR11;IFIX
VSLH11;IFIL IFIX
VIFI11;IFIX
VILG11;IFIL IFIX
VINO11;IFIL IFIX
VISC11;IFIL IFIX
VTLT11;IFIX
XPCI11;IFIL IFIX
XPIN11;IFIX
XPLG11;IFIL IFIX
XPML11;IFIL IFIX
XPPR11;IFIL IFIX
XPSF11;IFIL IFIX
FSLR34;BDRX
FLRY3;IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG SMLL
FDMO34;BDRX
F1TN34;BDRX
FRAS3;IGCX
FCXO34;BDRX
GFSA3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
GEOO34;BDRX
GMCO34;BDRX
GSHP3;ITAG
GEPA4;ITAG
GGBR3;IGCX ITAG
GGBR4;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IMAT INDX ITAG IVBX MLCX
GOAU3;IGCX ITAG
GOAU4;IBOV IBRA IBXL IBXX IGCT IGCX IMAT INDX ITAG IVBX SMLL
GETT11;GPTW IBRA IFNC ITAG SMLL
